"MEASURE - Index"

,YEAR,"2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Algeria","  Skills",0.4767543375,0.4635852873,0.4784199893,0.4696901739,0.4863787889,0.4786472321,0.471703589,0.4542105496,0.4573509097,0.40257442,0.4088869989,0.41221264
"Algeria","  Research and Development",0.1994189024,0.2194426805,0.2148775458,0.2194131166,0.2289277613,0.2271529585,0.2436608672,0.2585885823,0.2612951994,0.2993792892,0.2712718844,0.2672061622
"Algeria","  Industry activity",0.0647084266,0.1624981165,0.112627469,0.2102620155,0.0596658885,0.1282141954,0.1061489508,0.0212499015,0.0907996744,0.0989700109,0.1669128686,0.1543906778
"Algeria","  Access to finance",0.3775659502,0.3773466647,0.4074774981,0.3849429488,0.38075158,0.3798550665,0.3734265268,0.369643271,0.4117505848,0.4497970641,0.4679861963,0.4820590317
"Argentina","Overall index",0.5022900701,0.4982106984,0.4595400393,0.4887230992,0.5034384727,0.5417252779,0.5439763665,0.493537128,0.5395140052,0.4749256372,0.5184752345,0.4902986288
"Argentina","  ICT",0.5498857498,0.4524259567,0.3432689905,0.3730836809,0.4151439667,0.527130425,0.5141222477,0.5136862993,0.5289265513,0.4206654727,0.5351663828,0.5118991137
"Argentina","  Skills",0.7276761532,0.7166147232,0.7159380317,0.7023761868,0.7110338211,0.6922118068,0.6804417968,0.6574679017,0.6595480442,0.5827596188,0.5910117626,0.5881415009
"Argentina","  Research and Development",0.3005242348,0.267821908,0.2363391966,0.2226412296,0.3348376155,0.3144276738,0.329144448,0.2395406067,0.370485127,0.341620028,0.3592661917,0.3683905602
"Argentina","  Industry activity",0.5102844238,0.5923501253,0.5910916924,0.59797436,0.5546389818,0.615570426,0.5665128231,0.5395867825,0.5573641658,0.5232604742,0.5480539203,0.4423087537
"Argentina","  Access to finance",0.3793200552,0.3688324094,0.3467112482,0.3442650139,0.3853029907,0.3973580897,0.362510711,0.3015550375,0.3123105764,0.3241686225,0.3616009951,0.3745823205
"Armenia","Overall index",0.2882666886,0.2391873747,0.2565251589,0.3275171518,0.2844270766,0.3340153396,0.3342701197,0.3975793421,0.4003626704,0.367926985,0.3816094697,0.3947127163
"Armenia","  ICT",0.1213865578,0.0973731577,0.0976676792,0.1457128972,0.1794798672,0.1633221805,0.3153877556,0.4483012557,0.5034529567,0.5049704909,0.5272372961,0.5273178816
"Armenia","  Skills",0.5222133398,0.5351837873,0.529188633,0.5284011364,0.53487885,0.5245376229,0.5237816572,0.5225505829,0.5026635528,0.4420422614,0.4495145977,0.4500462711
"Armenia","  Research and Development",0.0807950273,0.083701551,0.1452025175,0.1443837881,0.0350087434,0.1736739725,0.0876035467,0.1467014402,0.1476772279,0.1155890226,0.1180439442,0.1462077796
"Armenia","  Industry activity",0.4731757343,0.3786721528,0.326987654,0.4166862369,0.4664086699,0.5406931043,0.3752299249,0.3519973755,0.3625617623,0.3254425824,0.370873034,0.3754183948
"Armenia","  Access to finance",0.4620488584,0.4694562256,0.5028948188,0.5256367922,0.5847538114,0.6058268547,0.5892304182,0.6052242517,0.5920460224,0.6349727511,0.6451714039,0.6723427176
"Australia","Overall index",0.8124341369,0.7868458033,0.8104298711,0.8570432663,0.8686366081,0.9016328454,0.8969390988,0.881700933,0.8815248013,0.8994295597,0.8928468227,0.8967359662
"Australia","  ICT",0.4698760211,0.3962262273,0.5957040787,0.733894825,0.7736606002,0.7844967246,0.7271000147,0.7193386555,0.7105569839,0.7503495812,0.7796658874,0.7986479402
"Australia","  Skills",0.9895968437,0.9791192412,0.970687151,0.9660608768,0.9996703267,1,1,1,1,1,1,1
"Australia","  Research and Development",0.6494383216,0.6520335674,0.6619878411,0.6596291065,0.6673336029,0.6648347378,0.6675408483,0.6670047045,0.6741531491,0.6740555167,0.6790594459,0.6709871888
"Australia","  Industry activity",0.5354542136,0.5639821291,0.5293223858,0.5644881129,0.5208163857,0.5973172784,0.5473991632,0.5463259816,0.5500170588,0.509744525,0.5156282187,0.5264102221
"Australia","  Access to finance",0.8480420113,0.8771877885,0.8620768785,0.8591647148,0.8520072699,0.8443332911,0.8362435102,0.8373132944,0.8577109575,0.8958420157,0.8874869347,0.8918178678
"Austria","Overall index",0.7829253674,0.8088920116,0.7996641994,0.8099389672,0.8174527884,0.8260252476,0.8246839046,0.7968546748,0.792733252,0.7972882986,0.7926107645,0.7941668034
"Austria","  ICT",0.7629121542,0.7611029744,0.7729524374,0.7767599821,0.7694935799,0.7804437876,0.7324361205,0.7050328851,0.695525229,0.8333813548,0.8184488416,0.8271352649
"Austria","  Skills",0.7767154574,0.7526964545,0.7575948834,0.7341922522,0.7678912878,0.751983583,0.7594537139,0.7427090406,0.7368454337,0.6517279148,0.6754998565,0.6744140387
"Austria","  Research and Development",0.564183712,0.5651854277,0.5767268538,0.6054756045,0.6224063039,0.588742435,0.5825171471,0.5651186705,0.581648767,0.5780159831,0.5824805498,0.5782926083
"Austria","  Industry activity",0.680323422,0.7127883434,0.69504565,0.7186806202,0.7007469535,0.7608380914,0.7439351678,0.7547066212,0.7485389113,0.71372962,0.7189267278,0.7205474377
"Austria","  Access to finance",0.7927097678,0.8237036467,0.811018765,0.8048024774,0.7999379039,0.7899770737,0.7679103613,0.7451104522,0.7455843687,0.7648610473,0.7632577419,0.77142483
"Azerbaijan","Overall index",0.2535208762,0.1926077604,0.2019520998,0.274081856,0.2620544732,0.292136699,0.3085086048,0.3211822808,0.3272608221,0.3032809794,0.3064260483,0.2980242074
"Azerbaijan","  ICT",0.1581034958,0.1375103891,0.1503014863,0.273498714,0.4201644957,0.4063981771,0.4019055665,0.4825896919,0.485188514,0.5755987167,0.5440150499,0.5491119623
"Azerbaijan","  Skills",0.5045272708,0.4830074608,0.4642114043,0.442856133,0.43758443,0.4118611515,0.4081140459,0.4138351977,0.4301112294,0.3765696287,0.3806554675,0.3780446351
"Azerbaijan","  Research and Development",0.1472740024,0.1025418267,0.1281846464,0.1166586205,0.0812877938,0.1228873432,0.1510214061,0.1106753796,0.1037563309,0.1289709508,0.2127135396,0.1779652536
"Azerbaijan","  Industry activity",0.2294372618,0.1816900969,0.1441720575,0.2127322853,0.2383350283,0.4018241763,0.2969045937,0.2109373212,0.2204918414,0.1048510969,0.1267079562,0.1498920619
"Azerbaijan","  Access to finance",0.4161061645,0.4211808741,0.4432305396,0.4213676453,0.4305180013,0.454223901,0.4704281986,0.4927938282,0.550927639,0.5381999016,0.440091908,0.4380009472
"Bahamas","Overall index",0.3528129458,0.3016672432,0.2939406931,0.3452266753,0.3159531653,0.3426249325,0.3276946545,0.3237305582,0.3702230752,0.3762949705,0.3994515836,0.389408499
"Bahamas","  ICT",0.2994969785,0.239243716,0.2618435919,0.3724862635,0.4051028788,0.4877054989,0.4928176105,0.4775430262,0.494795382,0.7485599518,0.7250913382,0.7418779731
"Bahamas","  Skills",0.5929499269,0.5669182539,0.5491409302,0.5313418508,0.5419582725,0.5245910883,0.5135601759,0.5028839111,0.4997536242,0.4363356233,0.440846622,0.4385259449
"Bahamas","  Research and Development",0.0926032141,0.0454066135,0.0467835739,0,0,0,0,0,0.0617273077,0,0.070457764,0.0337154604
"Bahamas","  Industry activity",0.2211034447,0.2645403743,0.2068241984,0.2561956644,0.2457800955,0.3179765642,0.1491799206,0.1371569186,0.313746959,0.2536218166,0.2872283757,0.2959532142
"Bahamas","  Access to finance",0.6953064799,0.7275645733,0.7229298353,0.7118465304,0.7191520929,0.6993112564,0.6750580668,0.6513504386,0.6350563169,0.648637712,0.6482729912,0.6490405798
"Bahrain","Overall index",0.3671795428,0.360062331,0.4007157385,0.4525902271,0.4190731943,0.5314826369,0.5529435277,0.5242992043,0.5372188687,0.5091388226,0.5474067926,0.5421466231
"Bahrain","  ICT",0.2519207597,0.2240631282,0.3191460967,0.4231930375,0.465349406,0.5527511239,0.6425844431,0.6297142506,0.6580353975,0.684984684,0.7350299954,0.7287504673
"Bahrain","  Skills",0.5073333979,0.4880115688,0.4832999706,0.4618791342,0.4679946005,0.4535185695,0.4341742992,0.4321761429,0.4382909536,0.4294933379,0.4856451154,0.4842033684
"Bahrain","  Research and Development",0.0344934203,0.0720966011,0.1164586022,0.1299510896,0.1255050451,0.1397500634,0.1488542259,0.1485731453,0.1337887049,0.1317909956,0.1791091412,0.1751271933
"Bahrain","  Industry activity",0.4986483753,0.5204187036,0.4958901405,0.5108941197,0.4624037147,0.739910543,0.677369535,0.5523469448,0.6321693063,0.5345689058,0.5190038681,0.5079527497
"Bahrain","  Access to finance",0.6747167706,0.7349792719,0.7404745221,0.7204712033,0.7303978205,0.7233421206,0.7028042078,0.6693490148,0.7084822655,0.7352108955,0.7318267226,0.7396397591
"Bangladesh","Overall index",0.1826797724,0.1659815013,0.1714605391,0.2250503749,0.1953974068,0.162300542,0.1731727123,0.2074933648,0.2200012356,0.2316464633,0.2417688519,0.2588934302
"Bangladesh","  ICT",0.094648473,0.0774841681,0.0797034279,0.0849739239,0.0725422576,0.0142588066,0.0158728398,0.0249807499,0.0592438504,0.1492430568,0.1973480731,0.1830578297
"Bangladesh","  Skills",0.1887449175,0.1756246686,0.1510773748,0.1563560963,0.1703006923,0.1696481258,0.1789076328,0.192417264,0.2037914842,0.1977488399,0.2010923922,0.2024662942
"Bangladesh","  Research and Development",0.1515060663,0.1768850535,0.1878225654,0.1771477461,0.2193923444,0.203573525,0.2306990772,0.2227715403,0.2340218127,0.2560884058,0.2628049254,0.3365947008
"Bangladesh","  Industry activity",0.3359310329,0.3640209138,0.3462689519,0.3993569911,0.347569555,0.4153142869,0.3300781846,0.3280629218,0.3261265457,0.2844475806,0.3204464614,0.3034494221
"Bangladesh","  Access to finance",0.5680706501,0.5942805409,0.5874515176,0.6075754762,0.6241647005,0.6210783124,0.5860483646,0.578322351,0.5854466558,0.6163318753,0.6258158088,0.6318532825
"Barbados","Overall index",0.5278043151,0.5496504307,0.5363473296,0.5461291671,0.5332804918,0.5608730912,0.5790574551,0.5205659866,0.5808413625,0.5479999781,0.5696818233,0.5751930475
"Barbados","  ICT",0.511584878,0.4903284907,0.5068793893,0.5259267688,0.5836835504,0.6839015484,0.6594761014,0.5378649831,0.7208400965,0.6854616404,0.7902763486,0.7700055838
"Barbados","  Skills",0.7077233791,0.7015512586,0.697276473,0.683577776,0.6783416271,0.6479597092,0.6426702142,0.6325311065,0.6305353642,0.5382460952,0.5488146544,0.5503157973
"Barbados","  Research and Development",0.1075090095,0.172268182,0.1641929746,0.0351177454,0.1594008207,0.1118806377,0.1787047237,0.1179321408,0.1482797414,0.2001793385,0.1881956309,0.2201881409
"Barbados","  Industry activity",0.5062854886,0.5581015348,0.5354158282,0.6198784709,0.5116372705,0.6240902543,0.5583931804,0.5537894368,0.6045501232,0.5331426859,0.5307528377,0.541118443
"Barbados","  Access to finance",0.7368569374,0.7712266445,0.7736719251,0.7657036781,0.7679264545,0.7692309022,0.743888557,0.7293537259,0.7366919518,0.7613332272,0.7581105828,0.7590830326
"Belarus","Overall index",0.4201481044,0.4137597084,0.439545244,0.4899749458,0.4674333334,0.4434656203,0.4616902769,0.504119277,0.5157257318,0.5185796618,0.5428292155,0.5275838375
"Belarus","  ICT",0.182393983,0.1618224382,0.3185132146,0.3403742611,0.348872751,0.3502901495,0.4297091961,0.4847688973,0.5005060434,0.6113762259,0.6688512564,0.7055790424
"Belarus","  Skills",0.7712780237,0.759108901,0.7658473849,0.7432282567,0.7497048974,0.7332515717,0.7327435017,0.7222299576,0.7132165432,0.6283177733,0.6337963939,0.631937027
"Belarus","  Research and Development",0.1872921884,0.2193138748,0.1515161395,0.1757469028,0.2497546971,0.1887371093,0.1511287093,0.2368981391,0.2496636361,0.256511271,0.2666423917,0.1761383414
"Belarus","  Industry activity",0.4113593698,0.4690252542,0.4421463907,0.505304575,0.4400197864,0.5347554684,0.4951363206,0.4934613705,0.5079193711,0.4805370867,0.514621675,0.5232697129
"Belarus","  Access to finance",0.5140403509,0.5559251904,0.5858578086,0.6119072437,0.5999781489,0.4745975435,0.4486925602,0.4304105043,0.4724748731,0.4783508182,0.4816423953,0.5066426992
"Belgium","Overall index",0.8455706239,0.8265740871,0.8467407227,0.8472842574,0.9072430134,0.9382404089,0.9326812029,0.9240694642,0.9220545292,0.9110715985,0.9051335454,0.9012243748
"Belgium","  ICT",0.6399931312,0.5193137527,0.6392369866,0.6618186831,0.8975965381,0.9347337484,0.8610475063,0.8750133514,0.8744880557,0.9132009745,0.9225022197,0.9026170373
"Belgium","  Skills",1,0.9746003151,0.9765024185,0.949467361,0.9648300409,0.9542546272,0.9488233924,0.9677485824,0.9683938026,0.856916368,0.8828399181,0.8824851513
"Belgium","  Research and Development",0.5961511135,0.6062588692,0.6085767746,0.5935201049,0.6090697646,0.6019042134,0.5959410667,0.5889048576,0.5969182849,0.5960103273,0.5725490451,0.5768256187
"Belgium","  Industry activity",0.732730329,0.7558501363,0.778424263,0.7859039903,0.7525267005,0.7955041528,0.7996848226,0.8020995855,0.80020082,0.7738766074,0.7761095762,0.7690576911
"Belgium","  Access to finance",0.7282034755,0.7298972607,0.6962015629,0.6810392141,0.6814838648,0.6730437279,0.6546338797,0.6456952095,0.6610474586,0.6981827617,0.700992465,0.7207827568
"Belize","Overall index",0.3006694615,0.3245287836,0.3169985414,0.2916741967,0.2738210261,0.2291752696,0.2492059916,0.2620081306,0.236894846,0.3066919148,0.2935235798,0.3226080835
"Belize","  ICT",0.2274212986,0.1849094331,0.1949457824,0.2049582601,0.1993721873,0.1603922099,0.1542814225,0.1610890031,0.1833333969,0.4664093554,0.4229994416,0.4731272459
"Belize","  Skills",0.5203971267,0.5033871531,0.4873429835,0.4518620968,0.4536772072,0.4392155111,0.4504662156,0.4413583577,0.4402104914,0.3916959763,0.4001658559,0.4021191895
"Belize","  Research and Development",0,0.0454066135,0.0555648655,0,0.0350087434,0,0.0435936525,0,0,0.0322427526,0,0.053437762
"Belize","  Industry activity",0.2644418478,0.5214630961,0.4704442024,0.327219218,0.4108292162,0.3723831475,0.3159684837,0.3740547001,0.2265927047,0.2608450353,0.3294354677,0.3136220574
"Belize","  Access to finance",0.7043155432,0.729893446,0.7255269885,0.705340445,0.6975337863,0.6873915195,0.6602838635,0.6439599991,0.651879251,0.6700780392,0.65980196,0.6713305116
"Benin","Overall index",0.0772660151,0.1355223954,0.1150904372,0.1839184314,0.1081818417,0.1097266003,0.1167474091,0.1918835044,0.1560517997,0.0956377611,0.1291704476,0.120811902
"Benin","  ICT",0.1000678986,0.0790822729,0.0781439021,0.1478469521,0.1396210045,0.087184675,0.0807267725,0.0775813013,0.0798273385,0.0554828644,0.1069954336,0.0778011829
"Benin","  Skills",0.2262265086,0.225819692,0.2278574705,0.2216906101,0.231472224,0.229583472,0.2465477139,0.2658655643,0.2584563196,0.2260237485,0.2299289703,0.2300441265
"Benin","  Research and Development",0,0.057135202,0.0350575186,0,0,0.0541897602,0.0537138581,0.0773587748,0.0918888822,0.0748653337,0.0895545781,0.1010842845
"Benin","  Industry activity",0.1812344044,0.4575271606,0.3137198389,0.4170874357,0.2645692229,0.3389387429,0.2553659678,0.4855895936,0.336209327,0.1843695492,0.329164207,0.3026198447
"Benin","  Access to finance",0.3662055731,0.4463375509,0.4614863396,0.4642057717,0.4887964129,0.4706848264,0.4442546368,0.4225710928,0.4255069792,0.4624007642,0.4467526972,0.4622101188
"Bolivia (Plurinational State of)","Overall index",0.2242219597,0.193491146,0.1951427907,0.2762644291,0.2332103252,0.2495464832,0.2564874291,0.255066663,0.2593670487,0.20193398,0.2533420622,0.2434361726
"Bolivia (Plurinational State of)","  ICT",0.1246705353,0.1184716225,0.1281245947,0.153180778,0.2340530455,0.206934467,0.1903029084,0.1781971753,0.2521105409,0.2150612772,0.3062562644,0.2841004729
"Bolivia (Plurinational State of)","  Skills",0.5217497945,0.4857028425,0.4851991236,0.4597303271,0.4611517787,0.4472908676,0.4606152177,0.4182844162,0.4083398581,0.3543333709,0.3751790822,0.3826287389
"Bolivia (Plurinational State of)","  Research and Development",0,0,0,0,0.0350087434,0.034189932,0.0677793622,0.0773587748,0.0518781506,0,0.0637999699,0.0740429088
"Bolivia (Plurinational State of)","  Industry activity",0.1426919848,0.2238809913,0.1778324842,0.3743822575,0.2225510627,0.3758191168,0.2472508997,0.2543430924,0.2487969548,0.1838922203,0.231104061,0.1706554443
"Bolivia (Plurinational State of)","  Access to finance",0.5982410312,0.5984766483,0.5925369263,0.6041536331,0.6154876351,0.6266936064,0.611332655,0.6120299101,0.6505483389,0.7006322742,0.6996095181,0.7129617333
"Bosnia and Herzegovina","Overall index",0.3762436509,0.3649924397,0.3578221798,0.4415265024,0.4169006944,0.4320056736,0.4053726494,0.438993454,0.4344609976,0.4330825806,0.4255906343,0.4276791215
"Bosnia and Herzegovina","  ICT",0.4402704835,0.3476601839,0.3774011731,0.3936775029,0.4714743197,0.4460200965,0.4201481938,0.4203854799,0.419798553,0.5650914907,0.5838866234,0.5831795335
"Bosnia and Herzegovina","  Skills",0.5350753665,0.5172203779,0.5203031898,0.5167699456,0.5119912028,0.5113944411,0.5233402848,0.5233453512,0.507373929,0.4398876727,0.4345322251,0.4343617558
"Bosnia and Herzegovina","  Research and Development",0.0891642049,0.0931835026,0.0555648655,0.209785834,0.1963396668,0.2277202159,0.1385228038,0.2195857614,0.2309466153,0.2192423344,0.1852545142,0.1875889152
"Bosnia and Herzegovina","  Industry activity",0.3158370852,0.4250034988,0.3896533847,0.4531124234,0.4084316492,0.49646613,0.4422115982,0.4500518441,0.4541048706,0.3988413811,0.4398665428,0.4495868385
"Bosnia and Herzegovina","  Access to finance",0.7012072802,0.7397620082,0.715975523,0.7001556754,0.7005416155,0.6988741755,0.671913743,0.6551623344,0.6530079842,0.676134944,0.6750280261,0.6805792451
"Botswana","Overall index",0.212930575,0.20494923,0.2329695821,0.2469904423,0.2194678038,0.1871048957,0.2133138627,0.240139693,0.2633357644,0.2373778075,0.2464302629,0.2592755258
"Botswana","  ICT",0.1136403456,0.0622417927,0.0978613645,0.0986132771,0.1540299803,0.1134831086,0.1403048933,0.2042522877,0.2336620688,0.2450021952,0.2755150497,0.3139616549
"Botswana","  Skills",0.446854502,0.4369261265,0.4356921911,0.4119313955,0.4129412472,0.4023847282,0.3960644007,0.3874505758,0.3836323619,0.3362294137,0.3415353,0.3409002125
"Botswana","  Research and Development",0,0.057135202,0.0350575186,0.0556603111,0.0554875508,0,0.0677793622,0.0528055653,0.0981944352,0.1437842846,0.1275999397,0.1275541782
"Botswana","  Industry activity",0.3165178001,0.4055947959,0.4737203121,0.3968907595,0.3622917533,0.429618597,0.3149068058,0.3188970983,0.3535308242,0.2627520561,0.3251966536,0.334430784
"Botswana","  Access to finance",0.4950073659,0.5327069163,0.537071228,0.5155257583,0.5299044251,0.5563064814,0.5234689116,0.4957584143,0.518999517,0.5279235244,0.5252737999,0.5387687087
"Brazil","Overall index",0.5920940042,0.5794405341,0.5926339626,0.6253811121,0.6044355631,0.6165040135,0.6126264334,0.64332968,0.6792773008,0.6285319924,0.6275716424,0.6477531791
"Brazil","  ICT",0.3544348776,0.2880525589,0.3023945689,0.3990719914,0.3933045864,0.3830358684,0.3726863861,0.3717651665,0.5030936599,0.4007260501,0.4559251368,0.5417196751
"Brazil","  Skills",0.5692269206,0.5412489176,0.5534142256,0.5260555744,0.5359232426,0.5082467794,0.5000882149,0.5340701342,0.5437368751,0.4938254058,0.4965692163,0.4962419569
"Brazil","  Research and Development",0.559904635,0.557723999,0.6029246449,0.6110144854,0.5856733918,0.605457902,0.584597826,0.5964953303,0.600764513,0.6002846956,0.6109961271,0.6053227186
"Brazil","  Industry activity",0.7050887942,0.7293198705,0.7132169604,0.6925160289,0.642363131,0.7053061128,0.6581305265,0.6719977856,0.6865667105,0.6641855836,0.6576409936,0.6330143213
"Brazil","  Access to finance",0.6184841394,0.6599717736,0.6486145258,0.6644737124,0.691570878,0.7016587853,0.6843395829,0.6773024201,0.6846703887,0.6937371492,0.6810412407,0.6974382997
"Brunei Darussalam","Overall index",0.4041866958,0.3676343858,0.4025912583,0.4647182524,0.4030146897,0.41888237,0.4530857503,0.478546679,0.4561060071,0.4636788368,0.462844044,0.4685743749
"Brunei Darussalam","  ICT",0.332405895,0.2795190513,0.4298818707,0.4477627277,0.4553083181,0.4389210939,0.4333682954,0.4396931231,0.4540159404,0.5897327065,0.668315053,0.6898825765
"Brunei Darussalam","  Skills",0.6819762588,0.6647450924,0.66636163,0.6576650143,0.6683987975,0.6747922301,0.7051622868,0.7140627503,0.7067818642,0.61035496,0.613918364,0.6121723056
"Brunei Darussalam","  Research and Development",0.0800912529,0.083701551,0.0350575186,0.0815408751,0.0812877938,0.1083795056,0.1765220761,0.1389277726,0.1621581614,0.1640337259,0.1481389403,0.1751271933
"Brunei Darussalam","  Industry activity",0.3173070848,0.3416225016,0.3548124731,0.4828004241,0.3898743093,0.4389844537,0.3483479619,0.5014541149,0.3989138901,0.3807959557,0.3470137119,0.3483791947
"Brunei Darussalam","  Access to finance",0.6012957096,0.6013939977,0.634020865,0.5841602683,0.5353699327,0.5286426544,0.5191178918,0.5121490359,0.5686388612,0.611005187,0.5804944634,0.562040627
"Bulgaria","Overall index",0.5448906422,0.5389974117,0.5727010369,0.6222009659,0.6036431789,0.6024938822,0.6029925942,0.6200525165,0.6255017519,0.6199649572,0.5832731724,0.5672798753
"Bulgaria","  ICT",0.6126799583,0.4886744618,0.5827316642,0.69777596,0.6855288744,0.6796892285,0.64616853,0.6470362544,0.6473677754,0.7030958533,0.7076740265,0.6768107414
"Bulgaria","  Skills",0.6251726747,0.6280158758,0.624381721,0.6080006361,0.6207541227,0.6003076434,0.6028105617,0.6223954558,0.6323328614,0.5522785187,0.5375472903,0.5355136991
"Bulgaria","  Research and Development",0.3292946219,0.2942594588,0.3400775492,0.325817138,0.3305459321,0.3101121485,0.3172694147,0.3541536927,0.36272645,0.3948750794,0.3293922246,0.292085737
"Bulgaria","  Industry activity",0.4994637668,0.5667098761,0.5591594577,0.61378932,0.5992333889,0.6553527117,0.6181082726,0.6370070577,0.658870399,0.6131376624,0.6206440926,0.6365174651
"Bulgaria","  Access to finance",0.6950618625,0.7444111109,0.7331299782,0.7224884629,0.717718184,0.7141911387,0.6922819614,0.6522995234,0.6391861439,0.6533188224,0.6407614946,0.6530218124
"Burkina Faso","Overall index",0,0.0270350911,0,0.0866882503,0.071462132,0.0632130429,0.0435752831,0.1001018435,0.0665250346,0.03864922,0.0729164332,0.0588456616
"Burkina Faso","  ICT",0.0925281867,0.0725369602,0.0720528811,0.0751660615,0.0683294237,0.010244716,0.0129778394,0.0374459773,0.0367276073,0.020010449,0.0689097717,0.0656618252
"Burkina Faso","  Skills",0,0,0,0,0,0,0,0,0.0027525052,0.0168590806,0.0250702687,0.0245707408
"Burkina Faso","  Research and Development",0.0344934203,0.083701551,0,0.0556603111,0.0554875508,0.034189932,0.0677793622,0.0773587748,0.0654629618,0.0644854754,0.1103558019,0.0740429088
"Burkina Faso","  Industry activity",0.1380677819,0.2808882892,0.1932529509,0.3293123841,0.4071265161,0.5658542514,0.3396387696,0.4189974368,0.2713020444,0.1910351515,0.257884264,0.2371206582
"Burkina Faso","  Access to finance",0.3742007017,0.4399741888,0.4313866198,0.4175581336,0.4306442142,0.4420546889,0.4536011219,0.456391573,0.4771195054,0.5196310282,0.5243429542,0.5291253924
"Burundi","Overall index",0.0471318401,0.0371644311,0.032019116,0.1135773584,0.0546894409,0.027145151,0.0101350127,0.0688689053,0.0703926757,0.0743378326,0.0513438359,0.0824257433
"Burundi","  ICT",0.0949863866,0.0739466026,0.0731081069,0.0740209892,0.0628133416,0,0,0,0,0.1794694215,0.1626305729,0.129094407
"Burundi","  Skills",0.1093922555,0.1191066056,0.1311831325,0.1654005945,0.1860218048,0.1875795275,0.179939121,0.1845618784,0.1899981201,0.1634588242,0.1647212356,0.1643188298
"Burundi","  Research and Development",0,0,0,0,0,0,0,0.0333166122,0,0,0,0.0318885408
"Burundi","  Industry activity",0.2092238069,0.3557646871,0.2458316982,0.3432367742,0.2384148538,0.2980434597,0.099484086,0.1369573474,0.3053957224,0.1946892887,0.1429062486,0.259521246
"Burundi","  Access to finance",0.4047246277,0.3918795884,0.3836366534,0.4272836149,0.4781570137,0.4584626555,0.4103695154,0.3816629648,0.3434340656,0.3798116446,0.3536229432,0.4034139812
"Cabo Verde","Overall index",0.2054428905,0.1727892309,0.1939739436,0.2613113821,0.2238825709,0.2517168522,0.2414196134,0.3517005444,0.277274251,0.2793747485,0.2912614048,0.2913304269
"Cabo Verde","  ICT",0.1281817555,0.108030729,0.1353877783,0.241245538,0.2745230794,0.381583035,0.3666599989,0.5233037472,0.5268623233,0.3530974388,0.4291551709,0.4378632903
"Cabo Verde","  Skills",0.426962018,0.4047210515,0.396106571,0.3764817417,0.3797337115,0.3699121177,0.350464344,0.3559641838,0.3512315452,0.3094241917,0.3147856593,0.3148753941
"Cabo Verde","  Research and Development",0,0,0,0,0,0,0,0.0333166122,0.0389456004,0,0.067128852,0
