country_code,YEARS,tech_overall_index,  ICT,  skills,research_dev,  Industry_activity,finance_access
DZA,2010,0.222846851,0.116890885,0.478419989,0.214877546,0.112627469,0.407477498
DZA,2011,0.290689826,0.125449941,0.469690174,0.219413117,0.210262016,0.384942949
DZA,2012,0.226210937,0.119036965,0.486378789,0.228927761,0.059665889,0.38075158
DZA,2013,0.237703487,0.145463988,0.478647232,0.227152959,0.128214195,0.379855067
DZA,2014,0.268799096,0.151702464,0.471703589,0.243660867,0.106148951,0.373426527
DZA,2015,0.270755738,0.166402414,0.45421055,0.258588582,0.021249902,0.369643271
DZA,2016,0.305881232,0.257524163,0.45735091,0.261295199,0.090799674,0.411750585
DZA,2017,0.301722139,0.254450262,0.40257442,0.299379289,0.098970011,0.449797064
DZA,2018,0.30392006,0.270914227,0.408886999,0.271271884,0.166912869,0.467986196
DZA,2019,0.305884212,0.275271088,0.41221264,0.267206162,0.154390678,0.482059032
ARG,2008,0.50229007,0.54988575,0.727676153,0.300524235,0.510284424,0.379320055
ARG,2009,0.498210698,0.452425957,0.716614723,0.267821908,0.592350125,0.368832409
ARG,2010,0.459540039,0.343268991,0.715938032,0.236339197,0.591091692,0.346711248
ARG,2011,0.488723099,0.373083681,0.702376187,0.22264123,0.59797436,0.344265014
ARG,2012,0.503438473,0.415143967,0.711033821,0.334837616,0.554638982,0.385302991
ARG,2013,0.541725278,0.527130425,0.692211807,0.314427674,0.615570426,0.39735809
ARG,2014,0.543976367,0.514122248,0.680441797,0.329144448,0.566512823,0.362510711
ARG,2015,0.493537128,0.513686299,0.657467902,0.239540607,0.539586783,0.301555038
ARG,2016,0.539514005,0.528926551,0.659548044,0.370485127,0.557364166,0.312310576
ARG,2017,0.474925637,0.420665473,0.582759619,0.341620028,0.523260474,0.324168623
ARG,2018,0.518475235,0.535166383,0.591011763,0.359266192,0.54805392,0.361600995
ARG,2019,0.490298629,0.511899114,0.588141501,0.36839056,0.442308754,0.374582321
ARM,2008,0.288266689,0.121386558,0.52221334,0.080795027,0.473175734,0.462048858
ARM,2009,0.239187375,0.097373158,0.535183787,0.083701551,0.378672153,0.469456226
ARM,2010,0.256525159,0.097667679,0.529188633,0.145202518,0.326987654,0.502894819
ARM,2011,0.327517152,0.145712897,0.528401136,0.144383788,0.416686237,0.525636792
ARM,2012,0.284427077,0.179479867,0.53487885,0.035008743,0.46640867,0.584753811
ARM,2013,0.33401534,0.163322181,0.524537623,0.173673973,0.540693104,0.605826855
ARM,2014,0.33427012,0.315387756,0.523781657,0.087603547,0.375229925,0.589230418
ARM,2015,0.397579342,0.448301256,0.522550583,0.14670144,0.351997376,0.605224252
ARM,2016,0.40036267,0.503452957,0.502663553,0.147677228,0.362561762,0.592046022
ARM,2017,0.367926985,0.504970491,0.442042261,0.115589023,0.325442582,0.634972751
ARM,2018,0.38160947,0.527237296,0.449514598,0.118043944,0.370873034,0.645171404
ARM,2019,0.394712716,0.527317882,0.450046271,0.14620778,0.375418395,0.672342718
AUS,2008,0.812434137,0.469876021,0.989596844,0.649438322,0.535454214,0.848042011
AUS,2009,0.786845803,0.396226227,0.979119241,0.652033567,0.563982129,0.877187789
AUS,2010,0.810429871,0.595704079,0.970687151,0.661987841,0.529322386,0.862076879
AUS,2011,0.857043266,0.733894825,0.966060877,0.659629107,0.564488113,0.859164715
AUS,2012,0.868636608,0.7736606,0.999670327,0.667333603,0.520816386,0.85200727
AUS,2013,0.901632845,0.784496725,1,0.664834738,0.597317278,0.844333291
AUS,2014,0.896939099,0.727100015,1,0.667540848,0.547399163,0.83624351
AUS,2015,0.881700933,0.719338656,1,0.667004705,0.546325982,0.837313294
AUS,2016,0.881524801,0.710556984,1,0.674153149,0.550017059,0.857710958
AUS,2017,0.89942956,0.750349581,1,0.674055517,0.509744525,0.895842016
AUS,2018,0.892846823,0.779665887,1,0.679059446,0.515628219,0.887486935
AUS,2019,0.896735966,0.79864794,1,0.670987189,0.526410222,0.891817868
AUT,2008,0.782925367,0.762912154,0.776715457,0.564183712,0.680323422,0.792709768
AUT,2009,0.808892012,0.761102974,0.752696455,0.565185428,0.712788343,0.823703647
AUT,2010,0.799664199,0.772952437,0.757594883,0.576726854,0.69504565,0.811018765
AUT,2011,0.809938967,0.776759982,0.734192252,0.605475605,0.71868062,0.804802477
AUT,2012,0.817452788,0.76949358,0.767891288,0.622406304,0.700746954,0.799937904
AUT,2013,0.826025248,0.780443788,0.751983583,0.588742435,0.760838091,0.789977074
AUT,2014,0.824683905,0.732436121,0.759453714,0.582517147,0.743935168,0.767910361
AUT,2015,0.796854675,0.705032885,0.742709041,0.565118671,0.754706621,0.745110452
AUT,2016,0.792733252,0.695525229,0.736845434,0.581648767,0.748538911,0.745584369
AUT,2017,0.797288299,0.833381355,0.651727915,0.578015983,0.71372962,0.764861047
AUT,2018,0.792610765,0.818448842,0.675499857,0.58248055,0.718926728,0.763257742
AUT,2019,0.794166803,0.827135265,0.674414039,0.578292608,0.720547438,0.77142483
AZE,2008,0.253520876,0.158103496,0.504527271,0.147274002,0.229437262,0.416106165
AZE,2009,0.19260776,0.137510389,0.483007461,0.102541827,0.181690097,0.421180874
AZE,2010,0.2019521,0.150301486,0.464211404,0.128184646,0.144172058,0.44323054
AZE,2011,0.274081856,0.273498714,0.442856133,0.116658621,0.212732285,0.421367645
AZE,2012,0.262054473,0.420164496,0.43758443,0.081287794,0.238335028,0.430518001
AZE,2013,0.292136699,0.406398177,0.411861152,0.122887343,0.401824176,0.454223901
AZE,2014,0.308508605,0.401905567,0.408114046,0.151021406,0.296904594,0.470428199
AZE,2015,0.321182281,0.482589692,0.413835198,0.11067538,0.210937321,0.492793828
AZE,2016,0.327260822,0.485188514,0.430111229,0.103756331,0.220491841,0.550927639
AZE,2017,0.303280979,0.575598717,0.376569629,0.128970951,0.104851097,0.538199902
AZE,2018,0.306426048,0.54401505,0.380655468,0.21271354,0.126707956,0.440091908
AZE,2019,0.298024207,0.549111962,0.378044635,0.177965254,0.149892062,0.438000947
BHS,2008,0.352812946,0.299496979,0.592949927,0.092603214,0.221103445,0.69530648
BHS,2009,0.301667243,0.239243716,0.566918254,0.045406614,0.264540374,0.727564573
BHS,2010,0.293940693,0.261843592,0.54914093,0.046783574,0.206824198,0.722929835
BHS,2011,0.345226675,0.372486264,0.531341851,0,0.256195664,0.71184653
BHS,2012,0.315953165,0.405102879,0.541958273,0,0.245780096,0.719152093
BHS,2013,0.342624933,0.487705499,0.524591088,0,0.317976564,0.699311256
BHS,2014,0.327694655,0.492817611,0.513560176,0,0.149179921,0.675058067
BHS,2015,0.323730558,0.477543026,0.502883911,0,0.137156919,0.651350439
BHS,2016,0.370223075,0.494795382,0.499753624,0.061727308,0.313746959,0.635056317
BHS,2017,0.376294971,0.748559952,0.436335623,0,0.253621817,0.648637712
BHS,2018,0.399451584,0.725091338,0.440846622,0.070457764,0.287228376,0.648272991
BHS,2019,0.389408499,0.741877973,0.438525945,0.03371546,0.295953214,0.64904058
BHR,2008,0.367179543,0.25192076,0.507333398,0.03449342,0.498648375,0.674716771
BHR,2009,0.360062331,0.224063128,0.488011569,0.072096601,0.520418704,0.734979272
BHR,2010,0.400715739,0.319146097,0.483299971,0.116458602,0.495890141,0.740474522
BHR,2011,0.452590227,0.423193038,0.461879134,0.12995109,0.51089412,0.720471203
BHR,2012,0.419073194,0.465349406,0.467994601,0.125505045,0.462403715,0.730397821
BHR,2013,0.531482637,0.552751124,0.45351857,0.139750063,0.739910543,0.723342121
BHR,2014,0.552943528,0.642584443,0.434174299,0.148854226,0.677369535,0.702804208
BHR,2015,0.524299204,0.629714251,0.432176143,0.148573145,0.552346945,0.669349015
BHR,2016,0.537218869,0.658035398,0.438290954,0.133788705,0.632169306,0.708482266
BHR,2017,0.509138823,0.684984684,0.429493338,0.131790996,0.534568906,0.735210896
BHR,2018,0.547406793,0.735029995,0.485645115,0.179109141,0.519003868,0.731826723
BHR,2019,0.542146623,0.728750467,0.484203368,0.175127193,0.50795275,0.739639759
BGD,2008,0.182679772,0.094648473,0.188744918,0.151506066,0.335931033,0.56807065
BGD,2009,0.165981501,0.077484168,0.175624669,0.176885054,0.364020914,0.594280541
BGD,2010,0.171460539,0.079703428,0.151077375,0.187822565,0.346268952,0.587451518
BGD,2011,0.225050375,0.084973924,0.156356096,0.177147746,0.399356991,0.607575476
BGD,2012,0.195397407,0.072542258,0.170300692,0.219392344,0.347569555,0.624164701
BGD,2013,0.162300542,0.014258807,0.169648126,0.203573525,0.415314287,0.621078312
BGD,2014,0.173172712,0.01587284,0.178907633,0.230699077,0.330078185,0.586048365
BGD,2015,0.207493365,0.02498075,0.192417264,0.22277154,0.328062922,0.578322351
BGD,2016,0.220001236,0.05924385,0.203791484,0.234021813,0.326126546,0.585446656
BGD,2017,0.231646463,0.149243057,0.19774884,0.256088406,0.284447581,0.616331875
BGD,2018,0.241768852,0.197348073,0.201092392,0.262804925,0.320446461,0.625815809
BGD,2019,0.25889343,0.18305783,0.202466294,0.336594701,0.303449422,0.631853283
BRB,2008,0.527804315,0.511584878,0.707723379,0.10750901,0.506285489,0.736856937
BRB,2009,0.549650431,0.490328491,0.701551259,0.172268182,0.558101535,0.771226645
BRB,2010,0.53634733,0.506879389,0.697276473,0.164192975,0.535415828,0.773671925
BRB,2011,0.546129167,0.525926769,0.683577776,0.035117745,0.619878471,0.765703678
BRB,2012,0.533280492,0.58368355,0.678341627,0.159400821,0.511637271,0.767926455
BRB,2013,0.560873091,0.683901548,0.647959709,0.111880638,0.624090254,0.769230902
BRB,2014,0.579057455,0.659476101,0.642670214,0.178704724,0.55839318,0.743888557
BRB,2015,0.520565987,0.537864983,0.632531107,0.117932141,0.553789437,0.729353726
BRB,2016,0.580841363,0.720840097,0.630535364,0.148279741,0.604550123,0.736691952
BRB,2017,0.547999978,0.68546164,0.538246095,0.200179339,0.533142686,0.761333227
BRB,2018,0.569681823,0.790276349,0.548814654,0.188195631,0.530752838,0.758110583
BRB,2019,0.575193048,0.770005584,0.550315797,0.220188141,0.541118443,0.759083033
BLR,2008,0.420148104,0.182393983,0.771278024,0.187292188,0.41135937,0.514040351
BLR,2009,0.413759708,0.161822438,0.759108901,0.219313875,0.469025254,0.55592519
BLR,2010,0.439545244,0.318513215,0.765847385,0.15151614,0.442146391,0.585857809
BLR,2011,0.489974946,0.340374261,0.743228257,0.175746903,0.505304575,0.611907244
BLR,2012,0.467433333,0.348872751,0.749704897,0.249754697,0.440019786,0.599978149
BLR,2013,0.44346562,0.35029015,0.733251572,0.188737109,0.534755468,0.474597544
BLR,2014,0.461690277,0.429709196,0.732743502,0.151128709,0.495136321,0.44869256
BLR,2015,0.504119277,0.484768897,0.722229958,0.236898139,0.493461371,0.430410504
BLR,2016,0.515725732,0.500506043,0.713216543,0.249663636,0.507919371,0.472474873
BLR,2017,0.518579662,0.611376226,0.628317773,0.256511271,0.480537087,0.478350818
BLR,2018,0.542829216,0.668851256,0.633796394,0.266642392,0.514621675,0.481642395
BLR,2019,0.527583838,0.705579042,0.631937027,0.176138341,0.523269713,0.506642699
BEL,2008,0.845570624,0.639993131,1,0.596151114,0.732730329,0.728203476
BEL,2009,0.826574087,0.519313753,0.974600315,0.606258869,0.755850136,0.729897261
BEL,2010,0.846740723,0.639236987,0.976502419,0.608576775,0.778424263,0.696201563
BEL,2011,0.847284257,0.661818683,0.949467361,0.593520105,0.78590399,0.681039214
BEL,2012,0.907243013,0.897596538,0.964830041,0.609069765,0.752526701,0.681483865
BEL,2013,0.938240409,0.934733748,0.954254627,0.601904213,0.795504153,0.673043728
BEL,2014,0.932681203,0.861047506,0.948823392,0.595941067,0.799684823,0.65463388
BEL,2015,0.924069464,0.875013351,0.967748582,0.588904858,0.802099586,0.64569521
BEL,2016,0.922054529,0.874488056,0.968393803,0.596918285,0.80020082,0.661047459
BEL,2017,0.911071599,0.913200975,0.856916368,0.596010327,0.773876607,0.698182762
BEL,2018,0.905133545,0.92250222,0.882839918,0.572549045,0.776109576,0.700992465
BEL,2019,0.901224375,0.902617037,0.882485151,0.576825619,0.769057691,0.720782757
BLZ,2008,0.300669462,0.227421299,0.520397127,0,0.264441848,0.704315543
BLZ,2009,0.324528784,0.184909433,0.503387153,0.045406614,0.521463096,0.729893446
BLZ,2010,0.316998541,0.194945782,0.487342984,0.055564866,0.470444202,0.725526989
BLZ,2011,0.291674197,0.20495826,0.451862097,0,0.327219218,0.705340445
BLZ,2012,0.273821026,0.199372187,0.453677207,0.035008743,0.410829216,0.697533786
BLZ,2013,0.22917527,0.16039221,0.439215511,0,0.372383148,0.68739152
BLZ,2014,0.249205992,0.154281423,0.450466216,0.043593653,0.315968484,0.660283864
BLZ,2015,0.262008131,0.161089003,0.441358358,0,0.3740547,0.643959999
BLZ,2016,0.236894846,0.183333397,0.440210491,0,0.226592705,0.651879251
BLZ,2017,0.306691915,0.466409355,0.391695976,0.032242753,0.260845035,0.670078039
BLZ,2018,0.29352358,0.422999442,0.400165856,0,0.329435468,0.65980196
BLZ,2019,0.322608084,0.473127246,0.40211919,0.053437762,0.313622057,0.671330512
BEN,2008,0.077266015,0.100067899,0.226226509,0,0.181234404,0.366205573
BEN,2009,0.135522395,0.079082273,0.225819692,0.057135202,0.457527161,0.446337551
BEN,2010,0.115090437,0.078143902,0.227857471,0.035057519,0.313719839,0.46148634
BEN,2011,0.183918431,0.147846952,0.22169061,0,0.417087436,0.464205772
BEN,2012,0.108181842,0.139621005,0.231472224,0,0.264569223,0.488796413
BEN,2013,0.1097266,0.087184675,0.229583472,0.05418976,0.338938743,0.470684826
BEN,2014,0.116747409,0.080726773,0.246547714,0.053713858,0.255365968,0.444254637
BEN,2015,0.191883504,0.077581301,0.265865564,0.077358775,0.485589594,0.422571093
BEN,2016,0.1560518,0.079827339,0.25845632,0.091888882,0.336209327,0.425506979
BEN,2017,0.095637761,0.055482864,0.226023749,0.074865334,0.184369549,0.462400764
BEN,2018,0.129170448,0.106995434,0.22992897,0.089554578,0.329164207,0.446752697
BEN,2019,0.120811902,0.077801183,0.230044127,0.101084285,0.302619845,0.462210119
BOL,2008,0.22422196,0.124670535,0.521749795,0,0.142691985,0.598241031
BOL,2009,0.193491146,0.118471623,0.485702843,0,0.223880991,0.598476648
BOL,2010,0.195142791,0.128124595,0.485199124,0,0.177832484,0.592536926
BOL,2011,0.276264429,0.153180778,0.459730327,0,0.374382258,0.604153633
BOL,2012,0.233210325,0.234053046,0.461151779,0.035008743,0.222551063,0.615487635
BOL,2013,0.249546483,0.206934467,0.447290868,0.034189932,0.375819117,0.626693606
BOL,2014,0.256487429,0.190302908,0.460615218,0.067779362,0.2472509,0.611332655
BOL,2015,0.255066663,0.178197175,0.418284416,0.077358775,0.254343092,0.61202991
BOL,2016,0.259367049,0.252110541,0.408339858,0.051878151,0.248796955,0.650548339
BOL,2017,0.20193398,0.215061277,0.354333371,0,0.18389222,0.700632274
BOL,2018,0.253342062,0.306256264,0.375179082,0.06379997,0.231104061,0.699609518
BOL,2019,0.243436173,0.284100473,0.382628739,0.074042909,0.170655444,0.712961733
BIH,2008,0.376243651,0.440270484,0.535075367,0.089164205,0.315837085,0.70120728
BIH,2009,0.36499244,0.347660184,0.517220378,0.093183503,0.425003499,0.739762008
BIH,2010,0.35782218,0.377401173,0.52030319,0.055564866,0.389653385,0.715975523
BIH,2011,0.441526502,0.393677503,0.516769946,0.209785834,0.453112423,0.700155675
BIH,2012,0.416900694,0.47147432,0.511991203,0.196339667,0.408431649,0.700541616
BIH,2013,0.432005674,0.446020097,0.511394441,0.227720216,0.49646613,0.698874176
BIH,2014,0.405372649,0.420148194,0.523340285,0.138522804,0.442211598,0.671913743
BIH,2015,0.438993454,0.42038548,0.523345351,0.219585761,0.450051844,0.655162334
BIH,2016,0.434460998,0.419798553,0.507373929,0.230946615,0.454104871,0.653007984
BIH,2017,0.433082581,0.565091491,0.439887673,0.219242334,0.398841381,0.676134944
BIH,2018,0.425590634,0.583886623,0.434532225,0.185254514,0.439866543,0.675028026
BIH,2019,0.427679122,0.583179534,0.434361756,0.187588915,0.449586839,0.680579245
BWA,2008,0.212930575,0.113640346,0.446854502,0,0.3165178,0.495007366
BWA,2009,0.20494923,0.062241793,0.436926127,0.057135202,0.405594796,0.532706916
BWA,2010,0.232969582,0.097861365,0.435692191,0.035057519,0.473720312,0.537071228
BWA,2011,0.246990442,0.098613277,0.411931396,0.055660311,0.39689076,0.515525758
BWA,2012,0.219467804,0.15402998,0.412941247,0.055487551,0.362291753,0.529904425
BWA,2013,0.187104896,0.113483109,0.402384728,0,0.429618597,0.556306481
BWA,2014,0.213313863,0.140304893,0.396064401,0.067779362,0.314906806,0.523468912
BWA,2015,0.240139693,0.204252288,0.387450576,0.052805565,0.318897098,0.495758414
BWA,2016,0.263335764,0.233662069,0.383632362,0.098194435,0.353530824,0.518999517
BWA,2017,0.237377808,0.245002195,0.336229414,0.143784285,0.262752056,0.527923524
BWA,2018,0.246430263,0.27551505,0.3415353,0.12759994,0.325196654,0.5252738
BWA,2019,0.259275526,0.313961655,0.340900213,0.127554178,0.334430784,0.538768709
BRA,2008,0.592094004,0.354434878,0.569226921,0.559904635,0.705088794,0.618484139
BRA,2009,0.579440534,0.288052559,0.541248918,0.557723999,0.729319871,0.659971774
BRA,2010,0.592633963,0.302394569,0.553414226,0.602924645,0.71321696,0.648614526
BRA,2011,0.625381112,0.399071991,0.526055574,0.611014485,0.692516029,0.664473712
BRA,2012,0.604435563,0.393304586,0.535923243,0.585673392,0.642363131,0.691570878
BRA,2013,0.616504014,0.383035868,0.508246779,0.605457902,0.705306113,0.701658785
BRA,2014,0.612626433,0.372686386,0.500088215,0.584597826,0.658130527,0.684339583
BRA,2015,0.64332968,0.371765167,0.534070134,0.59649533,0.671997786,0.67730242
BRA,2016,0.679277301,0.50309366,0.543736875,0.600764513,0.686566711,0.684670389
BRA,2017,0.628531992,0.40072605,0.493825406,0.600284696,0.664185584,0.693737149
BRA,2018,0.627571642,0.455925137,0.496569216,0.610996127,0.657640994,0.681041241
BRA,2019,0.647753179,0.541719675,0.496241957,0.605322719,0.633014321,0.6974383
BRN,2008,0.404186696,0.332405895,0.681976259,0.080091253,0.317307085,0.60129571
BRN,2009,0.367634386,0.279519051,0.664745092,0.083701551,0.341622502,0.601393998
BRN,2010,0.402591258,0.429881871,0.66636163,0.035057519,0.354812473,0.634020865
BRN,2011,0.464718252,0.447762728,0.657665014,0.081540875,0.482800424,0.584160268
BRN,2012,0.40301469,0.455308318,0.668398798,0.081287794,0.389874309,0.535369933
BRN,2013,0.41888237,0.438921094,0.67479223,0.108379506,0.438984454,0.528642654
BRN,2014,0.45308575,0.433368295,0.705162287,0.176522076,0.348347962,0.519117892
BRN,2015,0.478546679,0.439693123,0.71406275,0.138927773,0.501454115,0.512149036
BRN,2016,0.456106007,0.45401594,0.706781864,0.162158161,0.39891389,0.568638861
BRN,2017,0.463678837,0.589732707,0.61035496,0.164033726,0.380795956,0.611005187
BRN,2018,0.462844044,0.668315053,0.613918364,0.14813894,0.347013712,0.580494463
BRN,2019,0.468574375,0.689882577,0.612172306,0.175127193,0.348379195,0.562040627
BGR,2008,0.544890642,0.612679958,0.625172675,0.329294622,0.499463767,0.695061863
BGR,2009,0.538997412,0.488674462,0.628015876,0.294259459,0.566709876,0.744411111
BGR,2010,0.572701037,0.582731664,0.624381721,0.340077549,0.559159458,0.733129978
BGR,2011,0.622200966,0.69777596,0.608000636,0.325817138,0.61378932,0.722488463
BGR,2012,0.603643179,0.685528874,0.620754123,0.330545932,0.599233389,0.717718184
BGR,2013,0.602493882,0.679689229,0.600307643,0.310112149,0.655352712,0.714191139
BGR,2014,0.602992594,0.64616853,0.602810562,0.317269415,0.618108273,0.692281961
BGR,2015,0.620052517,0.647036254,0.622395456,0.354153693,0.637007058,0.652299523
BGR,2016,0.625501752,0.647367775,0.632332861,0.36272645,0.658870399,0.639186144
BGR,2017,0.619964957,0.703095853,0.552278519,0.394875079,0.613137662,0.653318822
BGR,2018,0.583273172,0.707674027,0.53754729,0.329392225,0.620644093,0.640761495
BGR,2019,0.567279875,0.676810741,0.535513699,0.292085737,0.636517465,0.653021812
BFA,2008,0,0.092528187,0,0.03449342,0.138067782,0.374200702
BFA,2009,0.027035091,0.07253696,0,0.083701551,0.280888289,0.439974189
BFA,2010,0,0.072052881,0,0,0.193252951,0.43138662
BFA,2011,0.08668825,0.075166062,0,0.055660311,0.329312384,0.417558134
BFA,2012,0.071462132,0.068329424,0,0.055487551,0.407126516,0.430644214
BFA,2013,0.063213043,0.010244716,0,0.034189932,0.565854251,0.442054689
BFA,2014,0.043575283,0.012977839,0,0.067779362,0.33963877,0.453601122
BFA,2015,0.100101844,0.037445977,0,0.077358775,0.418997437,0.456391573
BFA,2016,0.066525035,0.036727607,0.002752505,0.065462962,0.271302044,0.477119505
BFA,2017,0.03864922,0.020010449,0.016859081,0.064485475,0.191035152,0.519631028
BFA,2018,0.072916433,0.068909772,0.025070269,0.110355802,0.257884264,0.524342954
BFA,2019,0.058845662,0.065661825,0.024570741,0.074042909,0.237120658,0.529125392
BDI,2008,0.04713184,0.094986387,0.109392256,0,0.209223807,0.404724628
BDI,2009,0.037164431,0.073946603,0.119106606,0,0.355764687,0.391879588
BDI,2010,0.032019116,0.073108107,0.131183133,0,0.245831698,0.383636653
BDI,2011,0.113577358,0.074020989,0.165400595,0,0.343236774,0.427283615
BDI,2012,0.054689441,0.062813342,0.186021805,0,0.238414854,0.478157014
BDI,2013,0.027145151,0,0.187579528,0,0.29804346,0.458462656
BDI,2014,0.010135013,0,0.179939121,0,0.099484086,0.410369515
BDI,2015,0.068868905,0,0.184561878,0.033316612,0.136957347,0.381662965
BDI,2016,0.070392676,0,0.18999812,0,0.305395722,0.343434066
BDI,2017,0.074337833,0.179469422,0.163458824,0,0.194689289,0.379811645
BDI,2018,0.051343836,0.162630573,0.164721236,0,0.142906249,0.353622943
BDI,2019,0.082425743,0.129094407,0.16431883,0.031888541,0.259521246,0.403413981
CPV,2008,0.205442891,0.128181756,0.426962018,0,0.174906313,0.642284572
CPV,2009,0.172789231,0.108030729,0.404721052,0,0.221926808,0.689466715
CPV,2010,0.193973944,0.135387778,0.396106571,0,0.242840856,0.693443477
CPV,2011,0.261311382,0.241245538,0.376481742,0,0.282252342,0.700460792
CPV,2012,0.223882571,0.274523079,0.379733712,0,0.234461039,0.718262613
CPV,2013,0.251716852,0.381583035,0.369912118,0,0.314912081,0.707786977
CPV,2014,0.241419613,0.366659999,0.350464344,0,0.208024219,0.684178531
CPV,2015,0.351700544,0.523303747,0.355964184,0.033316612,0.440583259,0.667135656
CPV,2016,0.277274251,0.526862323,0.351231545,0.0389456,0.100148901,0.665748715
CPV,2017,0.279374749,0.353097439,0.309424192,0,0.468919992,0.690192163
CPV,2018,0.291261405,0.429155171,0.314785659,0.067128852,0.339536071,0.691973567
CPV,2019,0.291330427,0.43786329,0.314875394,0,0.454345316,0.689905345
KHM,2008,0.098611683,0.091579445,0.278506666,0,0.143294528,0.448796213
KHM,2009,0.064516723,0.071311921,0.271206141,0,0.134567052,0.511730254
KHM,2010,0.083828636,0.070067607,0.26695329,0.046783574,0.116011895,0.50051719
KHM,2011,0.137932316,0.072178893,0.261504233,0,0.232889935,0.518515885
KHM,2012,0.116886973,0.127918705,0.269636273,0.079700403,0.146951929,0.536384463
KHM,2013,0.16631256,0.224930972,0.26462391,0.05418976,0.331615686,0.598612309
KHM,2014,0.210636005,0.212274954,0.263346046,0.053713858,0.414407313,0.63608551
KHM,2015,0.263322413,0.271163702,0.265492737,0.077358775,0.43748188,0.664730132
KHM,2016,0.265417516,0.300192237,0.259336501,0.051878151,0.451922029,0.710447609
KHM,2017,0.213662416,0.212000102,0.231762245,0.051103529,0.368031144,0.760210335
KHM,2018,0.273691088,0.364423305,0.236443847,0.089554578,0.421639264,0.770976007
KHM,2019,0.258778006,0.327566832,0.237222761,0.050542165,0.421639323,0.81143409
CMR,2008,0.114417538,0.10058713,0.230846837,0.080091253,0.291968167,0.296648949
CMR,2009,0.102108285,0.082808316,0.245047972,0,0.405194342,0.314953655
CMR,2010,0.10269957,0.084061332,0.246139646,0.035057519,0.329947472,0.304930627
CMR,2011,0.176816851,0.088658094,0.247871772,0.055660311,0.423977137,0.318772048
CMR,2012,0.155190632,0.077868491,0.258788794,0.098281972,0.426185638,0.366762847
CMR,2013,0.119765155,0.021085704,0.254958659,0.113576487,0.41249463,0.361196667
CMR,2014,0.129022092,0.032534849,0.272059232,0.107427746,0.343453258,0.327730715
CMR,2015,0.151814342,0.041987959,0.282760531,0.099949829,0.308966249,0.309289485
CMR,2016,0.202739254,0.251162589,0.291407168,0.113232307,0.309864193,0.322960198
CMR,2017,0.163783044,0.142467693,0.255613923,0.125968859,0.301940501,0.353736728
CMR,2018,0.173998013,0.171834841,0.259824097,0.149943933,0.314758241,0.338055015
CMR,2019,0.154800341,0.10591609,0.259743482,0.14620778,0.299257755,0.362099499
CAN,2008,0.863169491,0.606758058,0.848804593,0.712843716,0.737168372,0.85334897
CAN,2009,0.883916795,0.632040322,0.835150421,0.717713893,0.75558579,0.88160485
CAN,2010,0.86479944,0.649522424,0.831416965,0.705765903,0.753373981,0.865307748
CAN,2011,0.868113875,0.672683179,0.805103898,0.708761334,0.75330919,0.857206702
CAN,2012,0.888501883,0.749393284,0.813056111,0.716447473,0.721902072,0.855624378
CAN,2013,0.901390433,0.754202902,0.791322947,0.712624729,0.758624017,0.849807441
